datastreamid,datastreamname,siteid,variableid,fieldname,deviceid,methodid,comments,qualitycontrollevelid,rangemin,rangemax,annualtiming,downloaddate,bdate,edate
41431,NPS_MNOA2,15786,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41432,NPS_PAMA2,15787,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41433,NPS_RAMA2,15788,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41434,NPS_RUGA2,15789,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41435,NPS_SRWA2,15790,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41436,NPS_SRTA2,15791,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41437,NPS_SSIA2,15792,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41438,NPS_SMPA2,15793,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41439,NPS_TAHA2,15794,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41440,NPS_TANA2,15795,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41441,NPS_TEBA2,15796,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41442,NPS_TKLA2,15797,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41443,NPS_UPRA2,15798,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41444,NPS_WIGA2,15799,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41445,NPS_ASIA2,15770,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41446,NPS_CREA2,15771,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41447,NPS_CHMA2,15772,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41448,NPS_CTUA2,15773,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41449,NPS_CCLA2,15774,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41450,NPS_DVLA2,15775,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41451,NPS_DKLA2,15776,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41452,NPS_EVCA2,15777,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41453,NPS_ELLA2,15778,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41454,NPS_GGLA2,15779,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41455,NPS_HOWA2,15780,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41456,NPS_IMYA2,15781,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41457,NPS_KAUA2,15782,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
41458,NPS_KLIA2,15783,1179,NPS_Snow_Depth,1,33,,,,,,12/1/16,,
